,Omega2_b
b0,0
b1,15
b2,15
b3,0
b4,0
b5,0
b6,0
b7,0
b8,0
b9,0
b10,0
b11,0
b12,0
b13,0
b14,0
b15,0
b16,0
b17,0
b18,0
b19,0
b20,0
b21,0
b22,0
b23,0
b24,15
b25,15
b26,15
b27,0
